combo,P3,P6,P7,P8,P9,P10,P13,P16
CDGHIJKL,C,D,K,H,I,L,G,J
CEFGHIJK,C,F,H,J,E,K,G,I
CEFGHIJL,C,F,I,E,H,J,G,L
CEFGHIKL,C,F,K,E,H,L,G,I
CEFGHJKL,C,F,K,E,H,L,G,J
CEFGIJKL,C,F,K,E,I,L,G,J
CEFHIJKL,C,F,H,E,J,K,L,I
CEGHIJKL,C,G,H,E,J,K,L,I
CFGHIJKL,C,F,K,H,I,L,G,J
DEFGHIJK,D,F,H,J,E,K,G,I
DEFGHIJL,D,F,I,E,H,J,G,L
DEFGHIKL,D,F,K,E,H,L,G,I
DEFGHJKL,D,F,K,E,H,L,G,J
DEFGIJKL,D,F,K,E,I,L,G,J
DEFHIJKL,D,F,H,E,J,K,L,I
DEGHIJKL,D,G,H,E,J,K,L,I
DFGHIJKL,K,F,L,H,I,J,G,D
EFGHIJKL,F,G,H,E,J,K,L,I
